label,duty_diff,gyro_ss_dps,gyro_max_dps,v_avg_ss_mm_s,settle90_ms
pos002,0.02,14.1429881572723,22.4390239715576,702.415298309326,19.989013671875
pos004,0.04,29.2963421535492,37.9878044128418,702.296238555908,27.984619140625
pos006,0.06,48.2153974151611,60,702.061628875732,29.9835205078125
pos010,0.1,81.493904209137,101.158538818359,701.483850021362,36.9796752929688
pos014,0.14,148.919211120605,171.219512939453,701.546882476807,90.9500122070312
neg002,-0.02,-11.9638722097874,16.463415145874,702.71819442749,26.9851684570312
neg004,-0.04,-29.2493909215927,50.7926826477051,702.87577079773,36.2548828125
neg006,-0.06,-47.3297266769409,59.0853691101074,702.758462371826,39.276123046875
neg010,-0.1,-71.2329282951355,80.7317123413086,703.026341247559,44.3115234375
neg014,-0.14,-117.373935565948,130.67073059082,704.575834503174,62.43896484375
